source_file,line_number,variable_name,text_cn,text_en,text_vn,text_ko,text_tr,text_ling
"E:/code/cpeject/test_mooc-clin/DirModeEx/tests/demo_proj/src/demo.c","8","var_simple1","","","","","",""
"E:/code/cpeject/test_mooc-clin/DirModeEx/tests/demo_proj/src/demo.c","32","var_simple2","","","","","",""
"E:/code/cpeject/test_mooc-clin/DirModeEx/tests/demo_proj/src/demo.c","40","var_simple3","","","","","",""
"E:/code/cpeject/test_mooc-clin/DirModeEx/tests/demo_proj/src/demo.c","49","var_simple6","","","","","",""
"E:/code/cpeject/test_mooc-clin/DirModeEx/tests/demo_proj/src/demo.c","57","var_simple7","","","","","",""
"E:/code/cpeject/test_mooc-clin/DirModeEx/tests/demo_proj/src/demo.c","65","var_simple8","","","","","",""
"E:/code/cpeject/test_mooc-clin/DirModeEx/tests/demo_proj/src/demo.c","74","var_simple9","","","","","",""
"E:/code/cpeject/test_mooc-clin/DirModeEx/tests/demo_proj/src/demo.c","82","var_simple10","","","","","",""
"E:/code/cpeject/test_mooc-clin/DirModeEx/tests/demo_proj/src/demo.c","90","var_simple11","","","","","",""
"E:/code/cpeject/test_mooc-clin/DirModeEx/tests/demo_proj/src/demo.c","23","var_simple1","11111111","Example1","Example2","Example1","Example1","Example1"
"E:/code/cpeject/test_mooc-clin/DirModeEx/tests/demo_proj/src/demo2.c","24","var_simple","","","","","",""
"E:/code/cpeject/test_mooc-clin/DirModeEx/tests/demo_proj/src/demo2.c","33","var_simple2","","","","","",""
"E:/code/cpeject/test_mooc-clin/DirModeEx/tests/demo_proj/src/demo2.c","41","var_simple3","","","","","",""
"E:/code/cpeject/test_mooc-clin/DirModeEx/tests/demo_proj/src/demo2.c","49","var_simple4","","","","","",""
