"source_file","line_number","variable_name","text_cn","text_en","text_vn","text_ko","text_turkish","text_russian","text_spanish","text_pt","text_fa","text_jp","text_ar","text_other"
".\common.c","28","txt_input_points111","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
".\generated_text_vars_dynamic.c","5","txt_input_points","输入点","Input Points","Điểm nhập vào","\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x6f","\x53\x65\x6c\x65\x63\x63\x69\xc3\xb3\x6e\x20\x64\x65\x20\x63\xc3\xb3\x64\x69\x67\x6f","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
".\generated_text_vars_preserved.c","5","txt_input_points","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
".\main.c","40","txt_input_points22222","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
".\src\common.c","4","txt_input_points_3333","输入点","Input Points","Selección de código","Selección de código","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
".\src\main.c","44","txt_input_points_4444","输入点","Input Points","Selección de código","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
".\src\person_common.c","5","txt_input_points_555","输入点","Input Points","Điểm nhập vào","Número de códigos:","Número de códigos:ı","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
".\src\cjson\cJSON.c","42","txt_input_points_6666","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
".\src\gobject\gobject.c","4","txt_input_points_7777","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
".\src\list\deque.c","12","txt_input_points_888","输入点","Input Points","Điểm nhập vào","입력 포인트","Giriş Noktaları","Точки ввода","Puntos de entrada","Pontos de entrada","نقاط ورودی","入力ポイント","نقاط الإدخال","其它"
